Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
3780000,0.41035807,3.539353,3000.0,2111.982992341121,2111.982992341121,0.10926657,0.1369781,7.349446e-05,0.12449813,0.0012324562,1.0
3790000,0.35256973,3.6076286,3000.0,2153.450857480367,2153.450857480367,0.19623573,0.13865156,7.287787e-05,0.1242926,0.0012222007,1.0
3800000,0.3901055,3.576667,3000.0,2095.9375759214163,2095.9375759214163,0.17661887,0.13983671,7.22609e-05,0.12408697,0.0012119383,1.0
3810000,0.31083706,3.3364,3000.0,1942.7974016964436,1942.7974016964436,0.12388791,0.13775712,7.164433e-05,0.12388144,0.0012016826,1.0
3820000,0.26421392,3.8181572,3000.0,2194.3090850512185,2194.3090850512185,0.093666494,0.13380237,7.102737e-05,0.123675786,0.0011914204,1.0
3830000,0.47425032,3.2855287,3000.0,1954.2773263007402,1954.2773263007402,0.14232375,0.14300233,7.0410795e-05,0.12347027,0.0011811649,1.0
3840000,0.39702612,3.4964607,3000.0,2010.7964146931965,2010.7964146931965,0.11767213,0.14340176,6.979383e-05,0.12326455,0.0011709025,1.0
3850000,0.20837872,3.866504,3000.0,2356.007438659668,2356.007438659668,0.11422309,0.13855726,6.917684e-05,0.12305892,0.0011606403,1.0
3860000,0.2675348,3.7909167,3000.0,2255.0800663232803,2255.0800663232803,0.071129434,0.14042683,6.8560286e-05,0.12285339,0.0011503845,1.0
3870000,0.25333732,3.8473196,3000.0,2245.810545126597,2245.810545126597,0.08280938,0.13517687,6.794331e-05,0.122647755,0.0011401221,1.0
3880000,0.18494646,4.0139236,3000.0,2386.341989517212,2386.341989517212,0.22808813,0.16921867,6.732676e-05,0.122442245,0.0011298668,1.0
3890000,0.3462581,3.6395965,3000.0,2137.355495914817,2137.355495914817,0.07350035,0.1398647,6.670977e-05,0.12223657,0.0011196042,1.0
3900000,0.24940306,3.84466,3000.0,2252.047083258629,2252.047083258629,0.06648679,0.13553073,6.609321e-05,0.12203106,0.0011093487,1.0
3910000,0.31568322,3.6612415,3000.0,2137.7055665651956,2137.7055665651956,0.15132992,0.13944148,6.5476226e-05,0.12182537,0.0010990863,1.0
3920000,0.3808356,3.2786827,3000.0,2082.825181543827,2082.825181543827,0.1384775,0.14522153,6.485923e-05,0.12161971,0.001088824,1.0
3930000,0.2305952,3.9991043,3000.0,2399.459794998169,2399.459794998169,0.111554034,0.14098361,6.42427e-05,0.12141419,0.0010785685,1.0
